NUMERONODI 200
NUMEROARCHI 19900
KMASSIMO 3

Soluzione iniziale:
Arco n 18271, nodi 143-167, costo 25
Arco n 18327, nodi 144-167, costo 30
Arco n 18330, nodi 144-170, costo 69
Arco n 18333, nodi 144-173, costo 17
Arco n 18376, nodi 145-161, costo 21
Arco n 18389, nodi 145-174, costo 15
Arco n 18392, nodi 145-177, costo 38
Arco n 18421, nodi 146-152, costo 99
Arco n 18431, nodi 146-162, costo 92
Arco n 18438, nodi 146-169, costo 8
Arco n 18477, nodi 147-155, costo 47
Arco n 18490, nodi 147-168, costo 53
Arco n 18493, nodi 147-171, costo 4
Arco n 18532, nodi 148-158, costo 49
Arco n 18549, nodi 148-175, costo 80
Arco n 18552, nodi 148-178, costo 34
Arco n 18581, nodi 149-156, costo 80
Arco n 18585, nodi 149-160, costo 64
Arco n 18588, nodi 149-163, costo 51
Arco n 18634, nodi 150-159, costo 18
Arco n 18647, nodi 150-172, costo 8
Arco n 18656, nodi 150-181, costo 10
Arco n 18683, nodi 151-159, costo 44
Arco n 18709, nodi 151-185, costo 23
Arco n 18712, nodi 151-188, costo 71
Arco n 18777, nodi 153-158, costo 42
Arco n 18803, nodi 153-184, costo 19
Arco n 18810, nodi 153-191, costo 21
Arco n 18830, nodi 154-165, costo 87
Arco n 18852, nodi 154-187, costo 60
Arco n 18859, nodi 154-194, costo 68
Arco n 18911, nodi 156-157, costo 41
Arco n 18963, nodi 157-166, costo 96
Arco n 18973, nodi 157-176, costo 84
Arco n 19110, nodi 160-190, costo 53
Arco n 19117, nodi 160-197, costo 45
Arco n 19176, nodi 162-179, costo 60
Arco n 19179, nodi 162-182, costo 28
Arco n 19234, nodi 163-200, costo 3
Arco n 19300, nodi 165-195, costo 50
Arco n 19319, nodi 166-180, costo 11
Arco n 19332, nodi 166-193, costo 85
Arco n 19355, nodi 167-183, costo 64
Arco n 19421, nodi 169-186, costo 80
Arco n 19424, nodi 169-189, costo 72
Arco n 19457, nodi 170-192, costo 26
Arco n 19463, nodi 170-198, costo 83
Arco n 19545, nodi 173-196, costo 50
Arco n 19548, nodi 173-199, costo 97
Costo spanning tree: 9959

Iterazione 1:
Aggiunto arco 15457 e rimosso arco 18421.
Arco n 167, nodi 1-168, costo 95
Arco n 360, nodi 2-163, costo 61
Arco n 562, nodi 3-168, costo 71
Arco n 761, nodi 4-171, costo 32
Arco n 957, nodi 5-172, costo 80
Arco n 1150, nodi 6-171, costo 10
Arco n 1336, nodi 7-164, costo 77
Arco n 1539, nodi 8-175, costo 7
Arco n 1731, nodi 9-176, costo 26
Arco n 1805, nodi 10-60, costo 93
Arco n 1808, nodi 10-63, costo 68
Arco n 1921, nodi 10-176, costo 5
Arco n 1958, nodi 11-24, costo 67
Arco n 1962, nodi 11-28, costo 57
Arco n 2113, nodi 11-179, costo 28
Arco n 2148, nodi 12-26, costo 66
Arco n 2151, nodi 12-29, costo 88
Arco n 2296, nodi 12-174, costo 79
Arco n 2334, nodi 13-25, costo 90
Arco n 2340, nodi 13-31, costo 43
Arco n 2473, nodi 13-164, costo 27
Arco n 2527, nodi 14-32, costo 60
Arco n 2530, nodi 14-35, costo 21
Arco n 2669, nodi 14-174, costo 4
Arco n 2713, nodi 15-33, costo 98
Arco n 2716, nodi 15-36, costo 21
Arco n 2855, nodi 15-175, costo 26
Arco n 2902, nodi 16-38, costo 91
Arco n 2905, nodi 16-41, costo 98
Arco n 3041, nodi 16-177, costo 30
Arco n 3092, nodi 17-45, costo 54
Arco n 3095, nodi 17-48, costo 31
Arco n 3224, nodi 17-177, costo 37
Arco n 3268, nodi 18-39, costo 3
Arco n 3271, nodi 18-42, costo 11
Arco n 3407, nodi 18-178, costo 19
Arco n 3444, nodi 19-34, costo 74
Arco n 3447, nodi 19-37, costo 69
Arco n 3589, nodi 19-179, costo 88
Arco n 3617, nodi 20-27, costo 82
Arco n 3630, nodi 20-40, costo 8
Arco n 3772, nodi 20-182, costo 4
Arco n 3813, nodi 21-44, costo 12
Arco n 3816, nodi 21-47, costo 57
Arco n 3949, nodi 21-180, costo 5
Arco n 3990, nodi 22-43, costo 84
Arco n 3993, nodi 22-46, costo 50
Arco n 4119, nodi 22-172, costo 8
Arco n 4176, nodi 23-52, costo 47
Arco n 4179, nodi 23-55, costo 70
Arco n 4305, nodi 23-181, costo 47
Arco n 4349, nodi 24-49, costo 8
Arco n 4359, nodi 24-59, costo 30
Arco n 4525, nodi 25-50, costo 18
Arco n 4528, nodi 25-53, costo 20
Arco n 4679, nodi 26-30, costo 7
Arco n 4705, nodi 26-56, costo 91
Arco n 4884, nodi 27-62, costo 53
Arco n 4888, nodi 27-66, costo 54
Arco n 5048, nodi 28-54, costo 28
Arco n 5051, nodi 28-57, costo 99
Arco n 5230, nodi 29-65, costo 21
Arco n 5234, nodi 29-69, costo 91
Arco n 5407, nodi 30-72, costo 82
Arco n 5410, nodi 30-75, costo 51
Arco n 5577, nodi 31-73, costo 10
Arco n 5580, nodi 31-76, costo 10
Arco n 5730, nodi 32-58, costo 92
Arco n 5733, nodi 32-61, costo 67
Arco n 5890, nodi 33-51, costo 91
Arco n 5903, nodi 33-64, costo 16
Arco n 6073, nodi 34-68, costo 43
Arco n 6076, nodi 34-71, costo 83
Arco n 6240, nodi 35-70, costo 41
Arco n 6249, nodi 35-79, costo 84
Arco n 6416, nodi 36-82, costo 73
Arco n 6419, nodi 36-85, costo 49
Arco n 6586, nodi 37-89, costo 74
Arco n 6589, nodi 37-92, costo 22
Arco n 6726, nodi 38-67, costo 25
Arco n 6733, nodi 38-74, costo 16
Arco n 6906, nodi 39-86, costo 34
Arco n 6915, nodi 39-95, costo 92
Arco n 7076, nodi 40-96, costo 90
Arco n 7079, nodi 40-99, costo 2
Arco n 7216, nodi 41-77, costo 90
Arco n 7219, nodi 41-80, costo 35
Arco n 7399, nodi 42-102, costo 99
Arco n 7402, nodi 42-105, costo 10
Arco n 7542, nodi 43-88, costo 17
Arco n 7552, nodi 43-98, costo 68
Arco n 7693, nodi 44-83, costo 80
Arco n 7703, nodi 44-93, costo 19
Arco n 7843, nodi 45-78, costo 19
Arco n 7846, nodi 45-81, costo 33
Arco n 8003, nodi 46-84, costo 17
Arco n 8006, nodi 46-87, costo 51
Arco n 8163, nodi 47-91, costo 46
Arco n 8166, nodi 47-94, costo 81
Arco n 8333, nodi 48-109, costo 76
Arco n 8336, nodi 48-112, costo 6
Arco n 8476, nodi 49-101, costo 27
Arco n 8483, nodi 49-108, costo 74
Arco n 8636, nodi 50-111, costo 25
Arco n 8640, nodi 50-115, costo 22
Arco n 8764, nodi 51-90, costo 66
Arco n 8774, nodi 51-100, costo 84
Arco n 8940, nodi 52-118, costo 83
Arco n 8943, nodi 52-121, costo 13
Arco n 9094, nodi 53-125, costo 95
Arco n 9097, nodi 53-128, costo 27
Arco n 9218, nodi 54-103, costo 94
Arco n 9221, nodi 54-106, costo 54
Arco n 9374, nodi 55-114, costo 95
Arco n 9384, nodi 55-124, costo 17
Arco n 9508, nodi 56-104, costo 16
Arco n 9521, nodi 56-117, costo 3
Arco n 9678, nodi 57-131, costo 79
Arco n 9681, nodi 57-134, costo 75
Arco n 9786, nodi 58-97, costo 93
Arco n 9796, nodi 58-107, costo 99
Arco n 9943, nodi 59-113, costo 64
Arco n 9946, nodi 59-116, costo 69
Arco n 10080, nodi 60-110, costo 21
Arco n 10090, nodi 60-120, costo 39
Arco n 10246, nodi 61-137, costo 46
Arco n 10370, nodi 62-123, costo 20
Arco n 10374, nodi 62-127, costo 34
Arco n 10514, nodi 63-130, costo 79
Arco n 10517, nodi 63-133, costo 16
Arco n 10642, nodi 64-122, costo 59
Arco n 10655, nodi 64-135, costo 59
Arco n 11060, nodi 67-138, costo 89
Arco n 11180, nodi 68-126, costo 63
Arco n 11190, nodi 68-136, costo 44
Arco n 11304, nodi 69-119, costo 67
Arco n 11314, nodi 69-129, costo 87
Arco n 11964, nodi 74-139, costo 13
Arco n 12082, nodi 75-132, costo 16
Arco n 15457, nodi 106-128, costo 0
Arco n 18082, nodi 140-152, costo 54
Arco n 18085, nodi 140-155, costo 93
